SerialNo,FullName
X1,AGEF
X2,TNHQE
X3,RHQE
X4,NHQE_IVF
X5,RBF
X6,TNET
X7,EMTHCG
X8,TNBF_D5
X9,AGEM
X10,NET_IVF
X11,RBF_IVF
X12,QET
X13,TNBF
X14,TNPN2
X15,COR_E2
X16,NBA_IVF
X17,N2PNCS_IVF
X18,TNHQB_D5
X19,TNBC
X20,NBF_IVF
X21,CHCG_E2
X22,NRE
X23,NHQB_IVF
X24,NBF_D5_IVF
X25,NBA_D5_IVF
X26,CGN_E2
X27,CAMH
X28,RLH/FSH
X29,NOR_IVF
X30,TNBA_D5
X31,CET_P
X32,CET_E2
X33,NF_IVF
X34,OSP
X35,NME
X36,COR_P
X37,NAFC
X38,DI_GN
X39,CB_T
X40,CGN_LH
X41,CHCG_LH
X42,NHQB_D5_IVF
X43,EMTET
X44,NCE_IVF
X45,CB_LH
X46,BMIM
X47,TInf
X48,CB_FT3
X49,DT_GN
X50,BP
X51,CB_FSH
X52,CHCG_P
X53,DT_HCG
X54,NP_G
X55,NBA_ICSI
X56,NHQE_ICSI
X58,NLF_HCG
X59,BD
X61,NP_LB
X62,CB_E2
X63,RAFC/AMH
X64,NBC_IVF
X65,NP_A
X66,NP_P
X67,NF_ICSI
X68,TNBA_D6
X69,EMMHCG
X71,TNBF_D6
X72,NCE_ICSI
X73,CTRAb
X74,CB_FT4
X75,NBF_D6_IVF
X76,NHQB_ICSI
X79,TNHQB_D6
X80,MOR
X81,NBF_ICSI
X83,EDF
X84,NBA_D6_ICSI
X85,CCA125
X86,NET_ICSI
X87,CB_P
X88,N2PNCS_ICSI
X90,NOR_ICSI
X91,BMIF
X92,CA-TPO
X93,IT
X94,NBA_D6_IVF
X96,CTG-Ab
X97,CB_TSH
X98,FM
X99,NBC_ICSI
X100,TGN
X102,Tem14
Y,CliP
